playerID,name,pos
ramirha01,Hanley Ramirez,SS
bautijo02,Jose Bautista,RF
crawfca02,Carl Crawford,LF
gonzaca01,Carlos Gonzalez,RF
pedrodu01,Dustin Pedroia,2B
poseybu01,Buster Posey,C
rolliji01,Jimmy Rollins,SS
hunteto01,Torii Hunter,CF
ramirar01,Aramis Ramirez,3B
mccutan01,Andrew McCutchen,CF
hamiljo03,Josh Hamilton,CF
stantmi03,Giancarlo Stanton,RF
kinslia01,Ian Kinsler,2B
zimmery01,Ryan Zimmerman,3B
zobribe01,Ben Zobrist,2B
molinya01,Yadier Molina,C
werthja01,Jayson Werth,RF
